Country or area,UN continentalregion+AFs-4+AF0-,UN statisticalregion+AFs-4+AF0-,Population(1 July 2018),Population(1 July 2019),Change
Afghanistan,Asia,Southern Asia,37171921,38041754,2.34+ACU-
Albania,Europe,Southern Europe,2882740,2880917,+//0A4v/9AIj//QCS-0.06+ACU-
Algeria,Africa,Northern Africa,42228408,43053054,1.95+ACU-
American Samoa,Oceania,Polynesia,55465,55312,+//0A4v/9AIj//QCS-0.28+ACU-
Andorra,Europe,Southern Europe,77006,77142,0.18+ACU-
Angola,Africa,Middle Africa,30809787,31825295,3.30+ACU-
Anguilla,Americas,Caribbean,14731,14869,0.94+ACU-
Antarctica,Antarctica,Antarctica,3000,3000,0.00+ACU-
Antigua and Barbuda,Americas,Caribbean,96286,97118,0.86+ACU-
Argentina,Americas,South America,44361150,44780677,0.95+ACU-
Armenia,Asia,Western Asia,2951745,2957731,0.20+ACU-
Aruba,Americas,Caribbean,105845,106314,0.44+ACU-
Australia,Oceania,Australia and New Zealand,24898152,25203198,1.23+ACU-
Austria,Europe,Western Europe,8891388,8955102,0.72+ACU-
Azerbaijan,Asia,Western Asia,9949537,10047718,0.99+ACU-
Bahamas,Americas,Caribbean,385637,389482,1.00+ACU-
Bahrain,Asia,Western Asia,1569446,1641172,4.57+ACU-
Bangladesh,Asia,Southern Asia,161376708,163046161,1.03+ACU-
Barbados,Americas,Caribbean,286641,287025,0.13+ACU-
Belarus,Europe,Eastern Europe,9452617,9452411,0.00+ACU-
Belgium,Europe,Western Europe,11482178,11539328,0.50+ACU-
Belize,Americas,Central America,383071,390353,1.90+ACU-
Benin,Africa,Western Africa,11485044,11801151,2.75+ACU-
Bermuda,Americas,Northern America,62756,62506,+//0A4v/9AIj//QCS-0.40+ACU-
Bhutan,Asia,Southern Asia,754388,763092,1.15+ACU-
Bolivia,Americas,South America,11353142,11513100,1.41+ACU-
Bosnia and Herzegovina,Europe,Southern Europe,3323925,3301000,+//0A4v/9AIj//QCS-0.69+ACU-
Botswana,Africa,Southern Africa,2254068,2303697,2.20+ACU-
Brazil,Americas,South America,209469323,211049527,0.75+ACU-
